Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Michigan State,Michigan,LOSS,11,Home,0,0,0,0,0
Northwestern,Nebraska,LOSS,7,Road,0,0,0,0,0
Purdue,Rutgers,LOSS,3,Home,0,0,0,0,0
SMU,Wake Forest,LOSS,1,Road,0,0,0,0,0
Kansas,Kansas State,LOSS,25,Home,0,0,0,0,0
App State,Old Dominion,LOSS,3,Road,0,0,0,0,0
Bowling Green,Kent State,LOSS,3,Road,0,0,0,0,0
Eastern Michigan,Ohio,LOSS,7,Home,0,0,0,0,0
Arkansas,Auburn,LOSS,9,Home,0,0,0,0,0
Buffalo,Akron,LOSS,8,Home,0,0,0,0,0
UConn,Rice,LOSS,3,Road,0,0,0,0,0
Utah State,New Mexico,LOSS,19,Road,0,0,0,0,0
Minnesota,Iowa,LOSS,38,Road,0,0,0,0,0
Toledo,Washington State,LOSS,21,Road,0,0,0,0,0
NC State,Pittsburgh,LOSS,19,Road,0,0,0,0,0
Fresno State,San Diego State,LOSS,23,Home,0,0,0,0,0
UL Monroe,Southern Miss,LOSS,28,Road,0,0,0,0,0
Florida Atlantic,Navy,LOSS,10,Road,0,0,0,0,0
Tulsa,Temple,LOSS,1,Home,0,0,0,0,0
Ball State,Northern Illinois,LOSS,14,Road,0,0,0,0,0
Massachusetts,Central Michigan,LOSS,25,Road,0,0,0,0,0
Western Michigan,Miami (OH),LOSS,9,Road,0,0,0,0,0
West Virginia,TCU,LOSS,6,Home,0,0,0,0,0
Georgia Southern,Arkansas State,LOSS,10,Road,0,0,0,0,0
Louisiana,Troy,LOSS,12,Road,0,0,0,0,0
Colorado State,Wyoming,LOSS,28,Road,0,0,0,0,0
Colorado,Utah,LOSS,46,Road,0,0,0,0,0
