Standings,FINAL,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
107,Stanford,Troy,Troy,Toledo,Syracuse,Oklahoma State,Boston College,UAB,Arkansas State,Florida,Bowling Green,New Mexico State,Florida International,Texas State,Florida,Wyoming,Michigan State
108,Liberty,Northwestern,Northwestern,Colorado State,Kansas State,Florida Atlantic,Virginia Tech,Clemson,Louisiana,Liberty,Stanford,Bowling Green,Michigan State,UCLA,Wisconsin,New Mexico State,Stanford
109,South Alabama,Rice,Rice,East Carolina,Northern Illinois,Georgia State,UConn,Army,West Virginia,Colorado State,UAB,UAB,Georgia Southern,UL Monroe,App State,Syracuse,Liberty
110,Wyoming,Stanford,Stanford,North Carolina,Colorado State,Tulsa,South Alabama,Florida,Akron,West Virginia,Ball State,Stanford,Louisiana,Ball State,Ball State,Colorado,Wyoming
111,Virginia Tech,Utah State,Utah State,San JosŽ State,Kentucky,San Diego State,Western Michigan,Miami (OH),Georgia Southern,Arkansas,West Virginia,Ball State,San José State,Penn State,UL Monroe,Virginia Tech,New Mexico State
112,Bowling Green,Wyoming,Wyoming,Cincinnati,New Mexico,Middle Tennessee,Arkansas State,Liberty,Jacksonville State,Purdue,Wisconsin,Kent State,Ball State,Michigan State,Tulsa,Kent State,Virginia Tech
113,Air Force,Florida International,Florida International,Coastal Carolina,UAB,UTEP,Air Force,Boston College,Bowling Green,Florida International,Tulsa,West Virginia,New Mexico State,Air Force,South Alabama,Florida,Bowling Green
114,Ball State,Akron,Akron,UTSA,Nevada,Kennesaw State,Northwestern,UConn,Florida International,Louisiana,North Carolina,Wisconsin,UAB,San José State,UCLA,Ball State,Air Force
115,New Mexico State,Central Michigan,Central Michigan,Fresno State,Kent State,Missouri State,Stanford,South Alabama,Ball State,Arkansas State,Colorado State,Tulsa,Bowling Green,New Mexico State,Michigan State,UCLA,UAB
116,Syracuse,Oklahoma State,Oklahoma State,Old Dominion,Notre Dame,Georgia Southern,Akron,Arkansas State,San José State,Akron,Arkansas,North Carolina,Stanford,Bowling Green,Eastern Michigan,UL Monroe,Syracuse
117,Colorado,Florida Atlantic,Florida Atlantic,Western Michigan,Marshall,Jacksonville State,Oklahoma State,Air Force,Stanford,Georgia Southern,UTEP,Kentucky,Wisconsin,UAB,Air Force,Michigan State,Colorado
118,UAB,UAB,UAB,UCLA,Miami (OH),Kansas State,Florida Atlantic,Akron,UAB,Kent State,Purdue,UTEP,Kent State,Stanford,Northern Illinois,Eastern Michigan,Ball State
119,UL Monroe,Temple,Temple,Oregon State,Georgia Southern,Northern Illinois,Georgia State,Oklahoma State,UCLA,San José State,Kentucky,Arkansas,Tulsa,Kent State,Bowling Green,Bowling Green,UCLA
120,Eastern Michigan,Nevada,Nevada,New Mexico,Sam Houston,Colorado State,Middle Tennessee,Florida Atlantic,Liberty,Stanford,Louisiana,South Alabama,Arkansas,Arkansas,San José State,Air Force,UL Monroe
121,UCLA,Georgia State,Georgia State,ULM,Virginia Tech,Charlotte,UTEP,Georgia State,Boston College,Ball State,Air Force,Purdue,UTEP,Tulsa,UAB,Nevada,Eastern Michigan
122,Middle Tennessee,Ball State,Ball State,Eastern Michigan,San José State,Nevada,Eastern Michigan,Middle Tennessee,Air Force,UAB,Akron,Louisiana,South Alabama,South Alabama,New Mexico State,Northern Illinois,Middle Tennessee
123,Northern Illinois,Tulsa,Tulsa,Charlotte,UTSA,Ball State,Kansas State,UTEP,Oklahoma State,Eastern Michigan,Kent State,Colorado State,Purdue,UTEP,Stanford,San José State,Northern Illinois
124,San José State,San Diego State,San Diego State,Northwestern,Western Michigan,Kent State,Northern Illinois,Northern Illinois,Georgia State,Boston College,San José State,Air Force,Colorado State,Eastern Michigan,Arkansas,UAB,San José State
125,Nevada,Middle Tennessee,Middle Tennessee,Stanford,UCLA,Notre Dame,Colorado State,Colorado State,Middle Tennessee,South Alabama,Eastern Michigan,Northern Illinois,Air Force,Purdue,UTEP,Arkansas,Nevada
126,Boston College,New Mexico State,New Mexico State,Akron,Oregon State,Miami (OH),San José State,San José State,UTEP,Air Force,Middle Tennessee,San José State,Oregon State,Colorado State,Purdue,Colorado State,Boston College
127,Arkansas,UTEP,UTEP,Florida Atlantic,ULM,Sam Houston,Charlotte,Eastern Michigan,South Alabama,Oklahoma State,Boston College,Eastern Michigan,Northern Illinois,Oregon State,Sam Houston,Middle Tennessee,Arkansas
128,UTEP,Florida State,Florida State,Nevada,Eastern Michigan,Virginia Tech,Nevada,Charlotte,Eastern Michigan,Georgia State,South Alabama,Middle Tennessee,Eastern Michigan,Northern Illinois,Colorado State,UTEP,UTEP
129,Purdue,Mississippi State,Mississippi State,Georgia State,Charlotte,San José State,Ball State,Nevada,Northern Illinois,Middle Tennessee,Oklahoma State,Boston College,Georgia State,Sam Houston,Oregon State,Purdue,Purdue
130,Sam Houston,Massachusetts,Massachusetts,Ball State,Stanford,Western Michigan,Kent State,Ball State,Colorado State,UTEP,Georgia State,Oregon State,Middle Tennessee,Oklahoma State,Nevada,Sam Houston,Sam Houston
131,Colorado State,Kennesaw State,Kennesaw State,Middle Tennessee,Akron,UCLA,Miami (OH),Kent State,Charlotte,Northern Illinois,Oregon State,Oklahoma State,Boston College,Georgia State,Oklahoma State,Oregon State,Colorado State
132,Oregon State,Purdue,Purdue,UTEP,Georgia State,Oregon State,Sam Houston,Sam Houston,Nevada,Charlotte,Northern Illinois,Georgia State,Oklahoma State,Middle Tennessee,Georgia State,Boston College,Oregon State
133,Oklahoma State,Southern Miss,Southern Miss,Massachusetts,Ball State,ULM,UCLA,UCLA,Kent State,Nevada,Charlotte,Charlotte,Charlotte,Boston College,Middle Tennessee,Oklahoma State,Oklahoma State
134,Georgia State,Kent State,Kent State,Kennesaw State,Middle Tennessee,Eastern Michigan,Oregon State,Oregon State,Sam Houston,Sam Houston,Nevada,Nevada,Nevada,Charlotte,Boston College,Georgia State,Georgia State
135,Charlotte,Delaware,Delaware,Southern Miss,Massachusetts,Akron,ULM,ULM,Oregon State,Oregon State,Sam Houston,Sam Houston,Sam Houston,Nevada,Charlotte,Charlotte,Charlotte
136,Massachusetts,Missouri State,Missouri State,Missouri State,Kennesaw State,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
