Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
California,North Carolina,WIN,3,Home,4,0,0,1,5
Virginia,Washington State,WIN,2,Home,4,0,1,0,5
Tulane,Army,WIN,7,Home,4,0,1,0,5
Marshall,Texas State,WIN,3,Home,4,0,1,0,5
Liberty,New Mexico State,WIN,3,Home,4,0,0,0,4
Utah State,San José State,WIN,5,Home,4,0,0,0,4
Air Force,Wyoming,WIN,3,Home,4,0,0,0,4
New Mexico,Nevada,WIN,2,Home,4,0,0,0,4
New Mexico State,Liberty,LOSS,3,Road,0,0,0,0,0
South Alabama,Arkansas State,LOSS,1,Home,0,0,0,0,0
Western Kentucky,Florida International,LOSS,19,Home,0,0,0,0,0
Delaware,Jacksonville State,LOSS,13,Road,0,0,0,0,0
Sam Houston,UTEP,LOSS,18,Home,0,0,0,0,0
Tulsa,East Carolina,LOSS,14,Road,0,0,0,0,0
Miami,Louisville,LOSS,3,Home,0,0,0,0,0
Nebraska,Minnesota,LOSS,18,Road,0,0,0,0,0
San José State,Utah State,LOSS,5,Road,0,0,0,0,0
North Carolina,California,LOSS,3,Road,0,0,0,0,0
Wisconsin,Ohio State,LOSS,34,Home,0,0,0,0,0
Michigan State,Indiana,LOSS,25,Road,0,0,0,0,0
Arkansas,Texas A&M,LOSS,3,Home,0,0,0,0,0
Ole Miss,Georgia,LOSS,8,Road,0,0,0,0,0
Tennessee,Alabama,LOSS,17,Road,0,0,0,0,0
Texas Tech,Arizona State,LOSS,4,Road,0,0,0,0,0
Rutgers,Oregon,LOSS,46,Home,0,0,0,0,0
LSU,Vanderbilt,LOSS,7,Road,0,0,0,0,0
Duke,Georgia Tech,LOSS,9,Home,0,0,0,0,0
USC,Notre Dame,LOSS,10,Road,0,0,0,0,0
South Carolina,Oklahoma,LOSS,19,Home,0,0,0,0,0
Utah,BYU,LOSS,3,Road,0,0,0,0,0
Auburn,Missouri,LOSS,6,Home,0,0,0,0,0
Washington State,Virginia,LOSS,2,Road,0,0,0,0,0
Florida Atlantic,South Florida,LOSS,35,Road,0,0,0,0,0
Kentucky,Texas,LOSS,3,Home,0,0,0,0,0
Memphis,UAB,LOSS,7,Road,0,0,0,0,0
Oklahoma State,Cincinnati,LOSS,32,Home,0,0,0,0,0
Washington,Michigan,LOSS,17,Road,0,0,0,0,0
Boston College,UConn,LOSS,15,Home,0,0,0,0,0
Arizona,Houston,LOSS,3,Road,0,0,0,0,0
Baylor,TCU,LOSS,6,Road,0,0,0,0,0
Army,Tulane,LOSS,7,Road,0,0,0,0,0
Bowling Green,Central Michigan,LOSS,21,Home,0,0,0,0,0
Eastern Michigan,Miami (OH),LOSS,14,Road,0,0,0,0,0
West Virginia,UCF,LOSS,32,Road,0,0,0,0,0
Kent State,Toledo,LOSS,35,Road,0,0,0,0,0
Massachusetts,Buffalo,LOSS,7,Home,0,0,0,0,0
Purdue,Northwestern,LOSS,19,Road,0,0,0,0,0
UL Monroe,Troy,LOSS,23,Home,0,0,0,0,0
Clemson,SMU,LOSS,11,Home,0,0,0,0,0
Wyoming,Air Force,LOSS,3,Road,0,0,0,0,0
UNLV,Boise State,LOSS,25,Road,0,0,0,0,0
App State,Coastal Carolina,LOSS,8,Home,0,0,0,0,0
Old Dominion,James Madison,LOSS,36,Road,0,0,0,0,0
Texas State,Marshall,LOSS,3,Road,0,0,0,0,0
Charlotte,Temple,LOSS,35,Home,0,0,0,0,0
Akron,Ball State,LOSS,14,Road,0,0,0,0,0
Northern Illinois,Ohio,LOSS,27,Road,0,0,0,0,0
UTSA,North Texas,LOSS,38,Road,0,0,0,0,0
Mississippi State,Florida,LOSS,2,Road,0,0,0,0,0
Louisiana,Southern Miss,LOSS,12,Home,0,0,0,0,0
Penn State,Iowa,LOSS,1,Road,0,0,0,0,0
Maryland,UCLA,LOSS,3,Road,0,0,0,0,0
Colorado State,Hawai'i,LOSS,12,Home,0,0,0,0,0
Georgia State,Georgia Southern,LOSS,17,Road,0,0,0,0,0
Syracuse,Pittsburgh,LOSS,17,Home,0,0,0,0,0
Nevada,New Mexico,LOSS,2,Road,0,0,0,0,0
Florida State,Stanford,LOSS,7,Road,0,0,0,0,0
