Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
New Mexico,San José State,LOSS,7,Road,0,0,0,0,0
Colorado State,San Diego State,LOSS,21,Road,0,0,0,0,0
Minnesota,Ohio State,LOSS,39,Road,0,0,0,0,0
Florida State,Miami,LOSS,6,Home,0,0,0,0,0
Kent State,Oklahoma,LOSS,44,Road,0,0,0,0,0
Mississippi State,Texas A&M,LOSS,22,Road,0,0,0,0,0
Penn State,UCLA,LOSS,5,Road,0,0,0,0,0
Texas,Florida,LOSS,8,Road,0,0,0,0,0
Vanderbilt,Alabama,LOSS,16,Road,0,0,0,0,0
Houston,Texas Tech,LOSS,24,Home,0,0,0,0,0
Kentucky,Georgia,LOSS,21,Road,0,0,0,0,0
Iowa State,Cincinnati,LOSS,8,Road,0,0,0,0,0
Wisconsin,Michigan,LOSS,14,Road,0,0,0,0,0
Boise State,Notre Dame,LOSS,21,Road,0,0,0,0,0
Purdue,Illinois,LOSS,16,Home,0,0,0,0,0
Louisville,Virginia,LOSS,3,Home,0,0,0,0,0
Boston College,Pittsburgh,LOSS,41,Road,0,0,0,0,0
North Carolina,Clemson,LOSS,28,Home,0,0,0,0,0
Kansas State,Baylor,LOSS,1,Road,0,0,0,0,0
Air Force,Navy,LOSS,3,Road,0,0,0,0,0
UAB,Army,LOSS,18,Home,0,0,0,0,0
Ohio,Ball State,LOSS,6,Road,0,0,0,0,0
Virginia Tech,Wake Forest,LOSS,7,Home,0,0,0,0,0
UTSA,Temple,LOSS,6,Road,0,0,0,0,0
Massachusetts,Western Michigan,LOSS,18,Home,0,0,0,0,0
Oklahoma State,Arizona,LOSS,28,Road,0,0,0,0,0
Maryland,Washington,LOSS,4,Home,0,0,0,0,0
UL Monroe,Northwestern,LOSS,35,Road,0,0,0,0,0
Oregon State,App State,LOSS,4,Road,0,0,0,0,0
Syracuse,SMU,LOSS,13,Road,0,0,0,0,0
Florida International,UConn,LOSS,41,Road,0,0,0,0,0
Georgia State,James Madison,LOSS,7,Home,0,0,0,0,0
Central Michigan,Akron,LOSS,6,Road,0,0,0,0,0
Eastern Michigan,Buffalo,LOSS,1,Road,0,0,0,0,0
Northern Illinois,Miami (OH),LOSS,11,Home,0,0,0,0,0
Michigan State,Nebraska,LOSS,11,Road,0,0,0,0,0
Texas State,Arkansas State,LOSS,1,Road,0,0,0,0,0
Coastal Carolina,Old Dominion,LOSS,40,Road,0,0,0,0,0
Wyoming,UNLV,LOSS,14,Home,0,0,0,0,0
South Alabama,Troy,LOSS,7,Road,0,0,0,0,0
Rice,Florida Atlantic,LOSS,6,Home,0,0,0,0,0
Colorado,TCU,LOSS,14,Road,0,0,0,0,0
UCF,Kansas,LOSS,7,Home,0,0,0,0,0
Tulsa,Memphis,LOSS,38,Road,0,0,0,0,0
California,Duke,LOSS,24,Home,0,0,0,0,0
Nevada,Fresno State,LOSS,3,Road,0,0,0,0,0
