Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
BYU,Texas Tech,LOSS,22,Road,0,0,0,0,0
Iowa,Oregon,LOSS,2,Home,0,0,0,0,0
Navy,Notre Dame,LOSS,39,Road,0,0,0,0,0
Virginia,Wake Forest,LOSS,7,Home,0,0,0,0,0
Louisville,California,LOSS,3,Home,0,0,0,0,0
Auburn,Vanderbilt,LOSS,7,Road,0,0,0,0,0
Syracuse,Miami,LOSS,28,Road,0,0,0,0,0
Washington,Wisconsin,LOSS,3,Road,0,0,0,0,0
Boston College,SMU,LOSS,32,Home,0,0,0,0,0
Colorado,West Virginia,LOSS,7,Road,0,0,0,0,0
Marshall,James Madison,LOSS,12,Home,0,0,0,0,0
Arkansas State,Southern Miss,LOSS,6,Home,0,0,0,0,0
Temple,Army,LOSS,1,Road,0,0,0,0,0
Liberty,Missouri State,LOSS,4,Home,0,0,0,0,0
Bowling Green,Eastern Michigan,LOSS,6,Road,0,0,0,0,0
UAB,Rice,LOSS,7,Road,0,0,0,0,0
Maryland,Rutgers,LOSS,15,Road,0,0,0,0,0
Louisiana Tech,Delaware,LOSS,1,Road,0,0,0,0,0
Middle Tennessee,Florida International,LOSS,26,Home,0,0,0,0,0
UTEP,Jacksonville State,LOSS,3,Home,0,0,0,0,0
Charlotte,East Carolina,LOSS,26,Road,0,0,0,0,0
Tulsa,Florida Atlantic,LOSS,19,Road,0,0,0,0,0
Duke,UConn,LOSS,3,Road,0,0,0,0,0
Kansas,Arizona,LOSS,4,Road,0,0,0,0,0
TCU,Iowa State,LOSS,3,Home,0,0,0,0,0
New Mexico State,Kennesaw State,LOSS,3,Home,0,0,0,0,0
Georgia State,Coastal Carolina,LOSS,13,Road,0,0,0,0,0
Stanford,North Carolina,LOSS,5,Road,0,0,0,0,0
Texas State,Louisiana,LOSS,3,Road,0,0,0,0,0
San José State,Air Force,LOSS,10,Home,0,0,0,0,0
Florida State,Clemson,LOSS,14,Road,0,0,0,0,0
Florida,Kentucky,LOSS,31,Road,0,0,0,0,0
Nevada,Utah State,LOSS,37,Road,0,0,0,0,0
UCLA,Nebraska,LOSS,7,Home,0,0,0,0,0
Colorado State,UNLV,LOSS,32,Home,0,0,0,0,0
Oregon State,Sam Houston,LOSS,4,Home,0,0,0,0,0
San Diego State,Hawai'i,LOSS,32,Road,0,0,0,0,0
