Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Oklahoma,Michigan,WIN,11,Home,4,2,3,1,10
Missouri,Kansas,WIN,11,Home,4,2,3,1,10
Illinois,Duke,WIN,26,Road,4,2,2,1,9
LSU,Louisiana Tech,WIN,16,Home,4,2,2,0,8
Mississippi State,Arizona State,WIN,4,Home,4,0,3,1,8
Iowa State,Iowa,WIN,3,Home,4,0,3,1,8
Baylor,SMU,WIN,3,Road,4,2,1,1,8
Texas A&M,Utah State,WIN,22,Home,4,2,2,0,8
Ole Miss,Kentucky,WIN,7,Road,4,2,1,1,8
Colorado,Delaware,WIN,24,Home,4,2,2,0,8
Houston,Rice,WIN,26,Road,4,2,2,0,8
Toledo,Western Kentucky,WIN,24,Home,4,2,2,0,8
Washington State,San Diego State,WIN,23,Home,4,2,2,0,8
Louisville,James Madison,WIN,14,Home,4,2,1,0,7
Penn State,Florida International,WIN,34,Home,4,2,1,0,7
Oregon,Oklahoma State,WIN,66,Home,4,2,0,1,7
Clemson,Troy,WIN,11,Home,4,2,1,0,7
South Florida,Florida,WIN,2,Road,4,2,0,1,7
Indiana,Kennesaw State,WIN,47,Home,4,2,1,0,7
NC State,Virginia,WIN,4,Home,4,0,2,1,7
Pittsburgh,Central Michigan,WIN,28,Home,4,2,1,0,7
Cincinnati,Bowling Green,WIN,14,Home,4,2,1,0,7
Texas State,UTSA,WIN,7,Road,4,2,1,0,7
Missouri State,Marshall,WIN,1,Road,4,2,1,0,7
Army,Kansas State,WIN,3,Road,4,2,0,1,7
Vanderbilt,Virginia Tech,WIN,24,Road,4,2,0,1,7
USC,Georgia Southern,WIN,39,Home,4,2,1,0,7
BYU,Stanford,WIN,24,Home,4,2,0,1,7
Northwestern,FCS,WIN,35,Home,4,2,0,0,6
Maryland,Northern Illinois,WIN,11,Home,4,2,0,0,6
Boise State,FCS,WIN,37,Home,4,2,0,0,6
Ohio State,FCS,WIN,70,Home,4,2,0,0,6
Georgia,FCS,WIN,22,Home,4,2,0,0,6
Miami,FCS,WIN,42,Home,4,2,0,0,6
Texas,San José State,WIN,31,Home,4,2,0,0,6
South Carolina,FCS,WIN,28,Home,4,2,0,0,6
Florida State,FCS,WIN,74,Home,4,2,0,0,6
Alabama,UL Monroe,WIN,73,Home,4,2,0,0,6
Tennessee,FCS,WIN,55,Home,4,2,0,0,6
Texas Tech,Kent State,WIN,48,Home,4,2,0,0,6
Utah,FCS,WIN,54,Home,4,2,0,0,6
Minnesota,FCS,WIN,66,Home,4,2,0,0,6
Temple,FCS,WIN,48,Home,4,2,0,0,6
Fresno State,Oregon State,WIN,9,Road,4,2,0,0,6
Georgia Tech,FCS,WIN,47,Home,4,2,0,0,6
Navy,UAB,WIN,14,Home,4,2,0,0,6
North Texas,Western Michigan,WIN,3,Road,4,2,0,0,6
Buffalo,FCS,WIN,39,Home,4,2,0,0,6
Wisconsin,Middle Tennessee,WIN,32,Home,4,2,0,0,6
Ohio,West Virginia,WIN,7,Home,4,0,1,1,6
Wyoming,FCS,WIN,24,Home,4,2,0,0,6
Wake Forest,FCS,WIN,32,Home,4,2,0,0,6
Rutgers,Miami (OH),WIN,28,Home,4,2,0,0,6
Arkansas,Arkansas State,WIN,42,Home,4,2,0,0,6
Southern Miss,FCS,WIN,18,Home,4,2,0,0,6
California,FCS,WIN,32,Home,4,2,0,0,6
Old Dominion,FCS,WIN,48,Home,4,2,0,0,6
East Carolina,FCS,WIN,53,Home,4,2,0,0,6
Florida Atlantic,FCS,WIN,42,Home,4,2,0,0,6
North Carolina,Charlotte,WIN,17,Road,4,2,0,0,6
UCF,FCS,WIN,61,Home,4,2,0,0,6
Memphis,Georgia State,WIN,22,Road,4,2,0,0,6
Tulane,South Alabama,WIN,2,Road,4,2,0,0,6
Auburn,Ball State,WIN,39,Home,4,2,0,0,6
Nebraska,Akron,WIN,68,Home,4,2,0,0,6
Purdue,FCS,WIN,17,Home,4,2,0,0,6
Coastal Carolina,FCS,WIN,13,Home,4,2,0,0,6
Louisiana,FCS,WIN,24,Home,4,2,0,0,6
UTEP,FCS,WIN,25,Home,4,2,0,0,6
Arizona,FCS,WIN,45,Home,4,2,0,0,6
Washington,FCS,WIN,60,Home,4,2,0,0,6
Hawai'i,Sam Houston,WIN,17,Home,4,2,0,0,6
Michigan State,Boston College,WIN,2,Home,4,0,0,1,5
UNLV,UCLA,WIN,7,Home,4,0,0,1,5
New Mexico State,Tulsa,WIN,7,Home,4,0,1,0,5
Syracuse,FCS,WIN,7,Home,4,0,0,0,4
Jacksonville State,Liberty,WIN,10,Home,4,0,0,0,4
New Mexico,FCS,WIN,10,Home,4,0,0,0,4
App State,FCS,WIN,7,Home,4,0,0,0,4
Nevada,FCS,WIN,3,Home,4,0,0,0,4
Colorado State,FCS,WIN,4,Home,4,0,0,0,4
James Madison,Louisville,LOSS,14,Road,0,0,0,0,0
Northern Illinois,Maryland,LOSS,11,Road,0,0,0,0,0
Florida International,Penn State,LOSS,34,Road,0,0,0,0,0
Louisiana Tech,LSU,LOSS,16,Road,0,0,0,0,0
Oklahoma State,Oregon,LOSS,66,Road,0,0,0,0,0
San José State,Texas,LOSS,31,Road,0,0,0,0,0
Troy,Clemson,LOSS,11,Road,0,0,0,0,0
Duke,Illinois,LOSS,26,Home,0,0,0,0,0
Arizona State,Mississippi State,LOSS,4,Road,0,0,0,0,0
Florida,South Florida,LOSS,2,Home,0,0,0,0,0
Michigan,Oklahoma,LOSS,11,Road,0,0,0,0,0
Iowa,Iowa State,LOSS,3,Road,0,0,0,0,0
SMU,Baylor,LOSS,3,Home,0,0,0,0,0
Utah State,Texas A&M,LOSS,22,Road,0,0,0,0,0
Kentucky,Ole Miss,LOSS,7,Home,0,0,0,0,0
UL Monroe,Alabama,LOSS,73,Road,0,0,0,0,0
Kennesaw State,Indiana,LOSS,47,Road,0,0,0,0,0
Kent State,Texas Tech,LOSS,48,Road,0,0,0,0,0
Virginia,NC State,LOSS,4,Road,0,0,0,0,0
Central Michigan,Pittsburgh,LOSS,28,Road,0,0,0,0,0
Liberty,Jacksonville State,LOSS,10,Road,0,0,0,0,0
Kansas,Missouri,LOSS,11,Road,0,0,0,0,0
Oregon State,Fresno State,LOSS,9,Home,0,0,0,0,0
Bowling Green,Cincinnati,LOSS,14,Road,0,0,0,0,0
Delaware,Colorado,LOSS,24,Road,0,0,0,0,0
UTSA,Texas State,LOSS,7,Home,0,0,0,0,0
UAB,Navy,LOSS,14,Road,0,0,0,0,0
Western Michigan,North Texas,LOSS,3,Home,0,0,0,0,0
Middle Tennessee,Wisconsin,LOSS,32,Road,0,0,0,0,0
West Virginia,Ohio,LOSS,7,Road,0,0,0,0,0
Miami (OH),Rutgers,LOSS,28,Road,0,0,0,0,0
Arkansas State,Arkansas,LOSS,42,Road,0,0,0,0,0
Massachusetts,FCS,LOSS,1,Home,0,0,0,0,0
Marshall,Missouri State,LOSS,1,Home,0,0,0,0,0
Charlotte,North Carolina,LOSS,17,Home,0,0,0,0,0
Kansas State,Army,LOSS,3,Home,0,0,0,0,0
Rice,Houston,LOSS,26,Home,0,0,0,0,0
Western Kentucky,Toledo,LOSS,24,Road,0,0,0,0,0
Georgia State,Memphis,LOSS,22,Home,0,0,0,0,0
South Alabama,Tulane,LOSS,2,Home,0,0,0,0,0
Eastern Michigan,FCS,LOSS,5,Home,0,0,0,0,0
Ball State,Auburn,LOSS,39,Road,0,0,0,0,0
Virginia Tech,Vanderbilt,LOSS,24,Home,0,0,0,0,0
Akron,Nebraska,LOSS,68,Road,0,0,0,0,0
Georgia Southern,USC,LOSS,39,Road,0,0,0,0,0
