Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Georgia,Georgia Tech,WIN,7,Road,4,2,3,1,10
Ohio State,Michigan,WIN,18,Road,4,2,3,1,10
Miami,Pittsburgh,WIN,31,Road,4,2,3,1,10
Arizona,Arizona State,WIN,16,Road,4,2,2,1,9
Iowa,Nebraska,WIN,24,Road,4,2,2,1,9
Oregon,Washington,WIN,12,Road,4,2,2,1,9
Vanderbilt,Tennessee,WIN,21,Road,4,2,2,1,9
Duke,Wake Forest,WIN,17,Home,4,2,2,1,9
TCU,Cincinnati,WIN,22,Home,4,2,2,1,9
Navy,Memphis,WIN,11,Road,4,2,2,0,8
Texas,Texas A&M,WIN,10,Home,4,0,3,1,8
Ole Miss,Mississippi State,WIN,19,Road,4,2,1,1,8
Utah,Kansas,WIN,10,Road,4,2,1,1,8
Texas Tech,West Virginia,WIN,49,Road,4,2,1,1,8
Alabama,Auburn,WIN,7,Road,4,2,1,1,8
BYU,UCF,WIN,20,Home,4,2,1,1,8
California,SMU,WIN,3,Home,4,0,3,1,8
Louisville,Kentucky,WIN,41,Home,4,2,1,1,8
Clemson,South Carolina,WIN,14,Road,4,2,1,1,8
Houston,Baylor,WIN,7,Road,4,2,1,1,8
Penn State,Rutgers,WIN,4,Road,4,2,1,1,8
Florida,Florida State,WIN,19,Home,4,2,1,1,8
Indiana,Purdue,WIN,53,Road,4,2,0,1,7
Ohio,Buffalo,WIN,5,Road,4,2,1,0,7
North Texas,Temple,WIN,27,Home,4,2,1,0,7
Boise State,Utah State,WIN,1,Road,4,2,1,0,7
Notre Dame,Stanford,WIN,29,Road,4,2,0,1,7
USC,UCLA,WIN,19,Home,4,2,0,1,7
Virginia,Virginia Tech,WIN,20,Home,4,2,0,1,7
Iowa State,Oklahoma State,WIN,7,Road,4,2,0,1,7
Toledo,Central Michigan,WIN,18,Road,4,2,1,0,7
Georgia Southern,Marshall,WIN,5,Road,4,2,1,0,7
Louisiana Tech,Missouri State,WIN,12,Road,4,2,1,0,7
Boston College,Syracuse,WIN,22,Road,4,2,0,1,7
Missouri,Arkansas,WIN,14,Road,4,2,0,1,7
Troy,Southern Miss,WIN,10,Road,4,2,1,0,7
Army,UTSA,WIN,3,Road,4,2,1,0,7
James Madison,Coastal Carolina,WIN,49,Road,4,2,1,0,7
South Florida,Rice,WIN,49,Home,4,2,1,0,7
NC State,North Carolina,WIN,23,Home,4,2,0,1,7
Bowling Green,Massachusetts,WIN,31,Road,4,2,0,0,6
Western Michigan,Eastern Michigan,WIN,10,Road,4,2,0,0,6
Kent State,Northern Illinois,WIN,4,Road,4,2,0,0,6
Air Force,Colorado State,WIN,21,Road,4,2,0,0,6
New Mexico,San Diego State,WIN,6,Home,4,0,2,0,6
Oklahoma,LSU,WIN,4,Home,4,0,1,1,6
Tulane,Charlotte,WIN,27,Home,4,2,0,0,6
East Carolina,Florida Atlantic,WIN,39,Road,4,2,0,0,6
Miami (OH),Ball State,WIN,21,Home,4,2,0,0,6
Delaware,UTEP,WIN,30,Home,4,2,0,0,6
Florida International,Sam Houston,WIN,40,Road,4,2,0,0,6
Jacksonville State,Western Kentucky,WIN,3,Home,4,0,2,0,6
Old Dominion,Georgia State,WIN,17,Home,4,2,0,0,6
Arkansas State,App State,WIN,1,Road,4,2,0,0,6
Middle Tennessee,New Mexico State,WIN,7,Road,4,2,0,0,6
Texas State,South Alabama,WIN,23,Home,4,2,0,0,6
UAB,Tulsa,WIN,7,Road,4,2,0,0,6
Minnesota,Wisconsin,WIN,10,Home,4,0,1,1,6
Kennesaw State,Liberty,WIN,6,Road,4,2,0,0,6
Washington State,Oregon State,WIN,24,Home,4,2,0,0,6
Illinois,Northwestern,WIN,7,Home,4,0,1,1,6
