Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Toledo,Western Michigan,LOSS,1,Road,0,0,0,0,0
NC State,Duke,LOSS,12,Road,0,0,0,0,0
Northern Illinois,Mississippi State,LOSS,28,Road,0,0,0,0,0
West Virginia,Kansas,LOSS,31,Road,0,0,0,0,0
Florida International,Delaware,LOSS,22,Home,0,0,0,0,0
Arkansas State,Kennesaw State,LOSS,7,Road,0,0,0,0,0
Middle Tennessee,Marshall,LOSS,14,Home,0,0,0,0,0
Nevada,Western Kentucky,LOSS,15,Road,0,0,0,0,0
Air Force,Boise State,LOSS,12,Home,0,0,0,0,0
South Alabama,Coastal Carolina,LOSS,18,Home,0,0,0,0,0
Washington State,Washington,LOSS,35,Home,0,0,0,0,0
Stanford,Virginia,LOSS,28,Road,0,0,0,0,0
Baylor,Arizona State,LOSS,3,Home,0,0,0,0,0
East Carolina,BYU,LOSS,21,Home,0,0,0,0,0
Southern Miss,Louisiana Tech,LOSS,10,Road,0,0,0,0,0
UTEP,UL Monroe,LOSS,6,Home,0,0,0,0,0
Colorado State,UTSA,LOSS,1,Home,0,0,0,0,0
Wyoming,Colorado,LOSS,17,Road,0,0,0,0,0
California,San Diego State,LOSS,34,Road,0,0,0,0,0
Hawai'i,Fresno State,LOSS,2,Home,0,0,0,0,0
