Week,Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
2,Ohio,Rutgers,LOSS,3,Road,0,0,0,0,0
2,Boise State,South Florida,LOSS,27,Road,0,0,0,0,0
2,Buffalo,Minnesota,LOSS,13,Road,0,0,0,0,0
2,Jacksonville State,UCF,LOSS,7,Road,0,0,0,0,0
2,Cincinnati,Nebraska,LOSS,3,Road,0,0,0,0,0
2,Miami (OH),Wisconsin,LOSS,17,Road,0,0,0,0,0
2,Colorado,Georgia Tech,LOSS,7,Home,0,0,0,0,0
2,Charlotte,App State,LOSS,23,Home,0,0,0,0,0
2,Kennesaw State,Wake Forest,LOSS,1,Road,0,0,0,0,0
2,Western Michigan,Michigan State,LOSS,17,Road,0,0,0,0,0
2,Army,FCS,LOSS,3,Home,0,0,0,0,0
2,Baylor,Auburn,LOSS,14,Home,0,0,0,0,0
2,San José State,Central Michigan,LOSS,2,Home,0,0,0,0,0
2,Sam Houston,UNLV,LOSS,17,Home,0,0,0,0,0
2,Toledo,Kentucky,LOSS,8,Road,0,0,0,0,0
2,Northwestern,Tulane,LOSS,20,Road,0,0,0,0,0
2,Ball State,Purdue,LOSS,31,Road,0,0,0,0,0
2,Florida Atlantic,Maryland,LOSS,32,Road,0,0,0,0,0
2,Southern Miss,Mississippi State,LOSS,17,Home,0,0,0,0,0
2,Syracuse,Tennessee,LOSS,19,Road,0,0,0,0,0
2,Texas,Ohio State,LOSS,7,Road,0,0,0,0,0
2,Eastern Michigan,Texas State,LOSS,25,Road,0,0,0,0,0
2,Louisiana,Rice,LOSS,2,Home,0,0,0,0,0
2,UTEP,Utah State,LOSS,12,Road,0,0,0,0,0
2,Missouri State,USC,LOSS,60,Road,0,0,0,0,0
2,Middle Tennessee,FCS,LOSS,20,Home,0,0,0,0,0
2,Coastal Carolina,Virginia,LOSS,41,Road,0,0,0,0,0
2,Massachusetts,Temple,LOSS,32,Home,0,0,0,0,0
2,Georgia State,Ole Miss,LOSS,57,Road,0,0,0,0,0
2,Old Dominion,Indiana,LOSS,13,Road,0,0,0,0,0
2,UTSA,Texas A&M,LOSS,18,Road,0,0,0,0,0
2,New Mexico,Michigan,LOSS,17,Road,0,0,0,0,0
2,Alabama,Florida State,LOSS,14,Road,0,0,0,0,0
2,Marshall,Georgia,LOSS,38,Road,0,0,0,0,0
2,Clemson,LSU,LOSS,7,Home,0,0,0,0,0
2,Nevada,Penn State,LOSS,35,Road,0,0,0,0,0
2,Oregon State,California,LOSS,19,Home,0,0,0,0,0
2,Hawai'i,Arizona,LOSS,34,Road,0,0,0,0,0
2,UCLA,Utah,LOSS,33,Home,0,0,0,0,0
2,Colorado State,Washington,LOSS,17,Road,0,0,0,0,0
2,Virginia Tech,South Carolina,LOSS,13,Road,0,0,0,0,0
2,Notre Dame,Miami,LOSS,3,Road,0,0,0,0,0
2,North Carolina,TCU,LOSS,34,Home,0,0,0,0,0
3,Missouri,Kansas,WIN,11,Home,4,2,2,1,9
3,Oregon,Oklahoma State,WIN,66,Home,4,2,1,1,8
3,Illinois,Duke,WIN,26,Road,4,2,1,1,8
3,South Florida,Florida,WIN,2,Road,4,2,1,1,8
3,Oklahoma,Michigan,WIN,11,Home,4,2,1,1,8
3,Baylor,SMU,WIN,3,Road,4,2,1,1,8
3,Toledo,Western Kentucky,WIN,24,Home,4,2,2,0,8
3,Louisville,James Madison,WIN,14,Home,4,2,1,0,7
3,Penn State,Florida International,WIN,34,Home,4,2,1,0,7
3,LSU,Louisiana Tech,WIN,16,Home,4,2,1,0,7
3,Clemson,Troy,WIN,11,Home,4,2,1,0,7
3,Texas A&M,Utah State,WIN,22,Home,4,2,1,0,7
3,Ole Miss,Kentucky,WIN,7,Road,4,2,0,1,7
3,Pittsburgh,Central Michigan,WIN,28,Home,4,2,1,0,7
3,Fresno State,Oregon State,WIN,9,Road,4,2,0,1,7
3,Cincinnati,Bowling Green,WIN,14,Home,4,2,1,0,7
3,Arkansas,Arkansas State,WIN,42,Home,4,2,1,0,7
3,Army,Kansas State,WIN,3,Road,4,2,0,1,7
3,Houston,Rice,WIN,26,Road,4,2,1,0,7
3,Tulane,South Alabama,WIN,2,Road,4,2,1,0,7
3,Vanderbilt,Virginia Tech,WIN,24,Road,4,2,0,1,7
3,BYU,Stanford,WIN,24,Home,4,2,0,1,7
3,Northwestern,FCS,WIN,35,Home,4,2,0,0,6
3,Maryland,Northern Illinois,WIN,11,Home,4,2,0,0,6
3,Boise State,FCS,WIN,37,Home,4,2,0,0,6
3,Ohio State,FCS,WIN,70,Home,4,2,0,0,6
3,Georgia,FCS,WIN,22,Home,4,2,0,0,6
3,Miami,FCS,WIN,42,Home,4,2,0,0,6
3,Texas,San José State,WIN,31,Home,4,2,0,0,6
3,South Carolina,FCS,WIN,28,Home,4,2,0,0,6
3,Mississippi State,Arizona State,WIN,4,Home,4,0,1,1,6
3,Florida State,FCS,WIN,74,Home,4,2,0,0,6
3,Iowa State,Iowa,WIN,3,Home,4,0,1,1,6
3,Alabama,UL Monroe,WIN,73,Home,4,2,0,0,6
3,Tennessee,FCS,WIN,55,Home,4,2,0,0,6
3,Indiana,Kennesaw State,WIN,47,Home,4,2,0,0,6
3,Texas Tech,Kent State,WIN,48,Home,4,2,0,0,6
3,Utah,FCS,WIN,54,Home,4,2,0,0,6
3,Minnesota,FCS,WIN,66,Home,4,2,0,0,6
3,NC State,Virginia,WIN,4,Home,4,0,1,1,6
3,Temple,FCS,WIN,48,Home,4,2,0,0,6
