Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
TCU,Kansas State,LOSS,13,Road,0,0,0,0,0
Air Force,UNLV,LOSS,3,Road,0,0,0,0,0
Georgia State,App State,LOSS,21,Home,0,0,0,0,0
Old Dominion,Marshall,LOSS,24,Road,0,0,0,0,0
Ball State,Western Michigan,LOSS,42,Road,0,0,0,0,0
Temple,Navy,LOSS,1,Home,0,0,0,0,0
UAB,Florida Atlantic,LOSS,20,Road,0,0,0,0,0
Wisconsin,Iowa,LOSS,37,Home,0,0,0,0,0
San José State,Wyoming,LOSS,7,Road,0,0,0,0,0
UL Monroe,Coastal Carolina,LOSS,15,Road,0,0,0,0,0
Purdue,Minnesota,LOSS,7,Road,0,0,0,0,0
Boston College,Clemson,LOSS,31,Home,0,0,0,0,0
Rice,UTSA,LOSS,48,Road,0,0,0,0,0
Texas State,Troy,LOSS,7,Home,0,0,0,0,0
New Mexico,Boise State,LOSS,16,Road,0,0,0,0,0
Nevada,San Diego State,LOSS,34,Home,0,0,0,0,0
Utah State,Hawai'i,LOSS,18,Road,0,0,0,0,0
