Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Clemson,Louisville,WIN,1,Road,4,2,3,1,10
Oklahoma,Alabama,WIN,2,Road,4,2,3,1,10
Georgia,Texas,WIN,25,Home,4,2,3,1,10
Notre Dame,Pittsburgh,WIN,22,Road,4,2,3,1,10
Arizona,Cincinnati,WIN,6,Road,4,2,3,1,10
Oregon,Minnesota,WIN,29,Home,4,2,2,1,9
BYU,TCU,WIN,31,Home,4,2,2,1,9
Utah,Baylor,WIN,27,Road,4,2,2,1,9
Miami,NC State,WIN,34,Home,4,2,2,1,9
Virginia,Duke,WIN,17,Road,4,2,2,1,9
Texas Tech,UCF,WIN,39,Home,4,2,1,1,8
Michigan,Northwestern,WIN,2,Road,4,2,1,1,8
Illinois,Maryland,WIN,18,Home,4,2,1,1,8
Texas State,Southern Miss,WIN,27,Road,4,2,2,0,8
Wake Forest,North Carolina,WIN,16,Home,4,2,1,1,8
Missouri,Mississippi State,WIN,22,Home,4,2,1,1,8
Kent State,Akron,WIN,7,Road,4,2,1,0,7
Central Michigan,Buffalo,WIN,19,Home,4,2,1,0,7
Toledo,Miami (OH),WIN,21,Road,4,2,1,0,7
Old Dominion,Troy,WIN,33,Home,4,2,1,0,7
Ohio State,UCLA,WIN,38,Home,4,2,0,1,7
Indiana,Wisconsin,WIN,24,Home,4,2,0,1,7
Georgia Tech,Boston College,WIN,2,Road,4,2,0,1,7
USC,Iowa,WIN,5,Home,4,0,2,1,7
Navy,South Florida,WIN,3,Home,4,0,3,0,7
Kansas State,Oklahoma State,WIN,8,Road,4,2,0,1,7
Penn State,Michigan State,WIN,18,Road,4,2,0,1,7
East Carolina,Memphis,WIN,4,Home,4,0,3,0,7
Tulane,Florida Atlantic,WIN,11,Home,4,2,1,0,7
Washington,Purdue,WIN,36,Home,4,2,0,1,7
Florida State,Virginia Tech,WIN,20,Home,4,2,0,1,7
Washington State,Louisiana Tech,WIN,25,Home,4,2,1,0,7
Fresno State,Wyoming,WIN,21,Home,4,2,1,0,7
Northern Illinois,Massachusetts,WIN,42,Road,4,2,0,0,6
Texas A&M,South Carolina,WIN,1,Home,4,0,1,1,6
Ole Miss,Florida,WIN,10,Home,4,0,1,1,6
Tennessee,New Mexico State,WIN,33,Home,4,2,0,0,6
UTSA,Charlotte,WIN,21,Road,4,2,0,0,6
Eastern Michigan,Ball State,WIN,15,Road,4,2,0,0,6
Tulsa,Oregon State,WIN,17,Home,4,2,0,0,6
Arizona State,West Virginia,WIN,2,Home,4,0,1,1,6
Kentucky,FCS,WIN,32,Home,4,2,0,0,6
Marshall,Georgia State,WIN,12,Road,4,2,0,0,6
North Texas,UAB,WIN,29,Road,4,2,0,0,6
Missouri State,UTEP,WIN,14,Home,4,2,0,0,6
Western Kentucky,Middle Tennessee,WIN,16,Home,4,2,0,0,6
Nevada,San José State,WIN,45,Home,4,2,0,0,6
James Madison,App State,WIN,48,Home,4,2,0,0,6
South Alabama,UL Monroe,WIN,12,Road,4,2,0,0,6
Georgia Southern,Coastal Carolina,WIN,5,Home,4,0,2,0,6
Jacksonville State,Kennesaw State,WIN,9,Home,4,0,2,0,6
San Diego State,Boise State,WIN,10,Home,4,0,2,0,6
