Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Eastern Michigan,Kentucky,LOSS,25,Road,0,0,0,0,0
Massachusetts,Iowa,LOSS,40,Road,0,0,0,0,0
New Mexico State,Louisiana Tech,LOSS,35,Road,0,0,0,0,0
Coastal Carolina,East Carolina,LOSS,38,Home,0,0,0,0,0
Duke,Tulane,LOSS,7,Road,0,0,0,0,0
Tulsa,Navy,LOSS,19,Home,0,0,0,0,0
Florida Atlantic,Florida International,LOSS,10,Road,0,0,0,0,0
Akron,UAB,LOSS,3,Road,0,0,0,0,0
Air Force,Utah State,LOSS,19,Road,0,0,0,0,0
Minnesota,California,LOSS,13,Road,0,0,0,0,0
Boston College,Stanford,LOSS,10,Road,0,0,0,0,0
Texas State,Arizona State,LOSS,19,Road,0,0,0,0,0
UConn,Delaware,LOSS,3,Road,0,0,0,0,0
