Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Middle Tennessee,Sam Houston,WIN,14,Home,4,2,0,0,6
New Mexico State,UTEP,WIN,3,Road,4,2,0,0,6
South Florida,UAB,WIN,30,Road,4,2,0,0,6
Florida International,Jacksonville State,WIN,6,Home,4,0,2,0,6
Troy,Georgia State,WIN,12,Home,4,2,0,0,6
Clemson,FCS,WIN,35,Home,4,2,0,0,6
Texas State,UL Monroe,WIN,17,Home,4,2,0,0,6
New Mexico,Air Force,WIN,17,Road,4,2,0,0,6
Boise State,Colorado State,WIN,28,Home,4,2,0,0,6
LSU,Western Kentucky,WIN,3,Home,4,0,2,0,6
San Diego State,San José State,WIN,22,Home,4,2,0,0,6
James Madison,Washington State,WIN,4,Home,4,0,1,0,5
Kennesaw State,Missouri State,WIN,7,Home,4,0,1,0,5
App State,Marshall,WIN,2,Home,4,0,1,0,5
Iowa,Michigan State,WIN,3,Home,4,0,0,1,5
South Alabama,Southern Miss,WIN,7,Home,4,0,1,0,5
UCF,Oklahoma State,WIN,3,Home,4,0,0,1,5
Louisiana Tech,Liberty,WIN,6,Home,4,0,0,0,4
Bowling Green,Akron,LOSS,3,Home,0,0,0,0,0
Northern Illinois,Western Michigan,LOSS,16,Home,0,0,0,0,0
Massachusetts,Ohio,LOSS,28,Road,0,0,0,0,0
Buffalo,Miami (OH),LOSS,17,Home,0,0,0,0,0
Kent State,Central Michigan,LOSS,12,Home,0,0,0,0,0
Arkansas State,Louisiana,LOSS,4,Home,0,0,0,0,0
Florida State,NC State,LOSS,10,Road,0,0,0,0,0
Hawai'i,UNLV,LOSS,28,Road,0,0,0,0,0
Rutgers,Ohio State,LOSS,33,Road,0,0,0,0,0
Charlotte,Georgia,LOSS,32,Road,0,0,0,0,0
USC,Oregon,LOSS,15,Road,0,0,0,0,0
Missouri,Oklahoma,LOSS,11,Road,0,0,0,0,0
Syracuse,Notre Dame,LOSS,63,Road,0,0,0,0,0
Cincinnati,BYU,LOSS,12,Home,0,0,0,0,0
Kansas State,Utah,LOSS,4,Road,0,0,0,0,0
Virginia Tech,Miami,LOSS,17,Home,0,0,0,0,0
Kentucky,Vanderbilt,LOSS,28,Road,0,0,0,0,0
Georgia Tech,Pittsburgh,LOSS,14,Home,0,0,0,0,0
Arkansas,Texas,LOSS,15,Road,0,0,0,0,0
Maryland,Michigan,LOSS,25,Home,0,0,0,0,0
Florida,Tennessee,LOSS,20,Home,0,0,0,0,0
Illinois,Wisconsin,LOSS,17,Road,0,0,0,0,0
Houston,TCU,LOSS,3,Home,0,0,0,0,0
Temple,Tulane,LOSS,24,Home,0,0,0,0,0
Colorado,Arizona State,LOSS,25,Home,0,0,0,0,0
Minnesota,Northwestern,LOSS,3,Road,0,0,0,0,0
Louisville,SMU,LOSS,32,Road,0,0,0,0,0
Delaware,Wake Forest,LOSS,38,Road,0,0,0,0,0
Kansas,Iowa State,LOSS,24,Road,0,0,0,0,0
Army,Tulsa,LOSS,1,Home,0,0,0,0,0
Washington State,James Madison,LOSS,4,Road,0,0,0,0,0
Baylor,Arizona,LOSS,24,Road,0,0,0,0,0
Georgia Southern,Old Dominion,LOSS,35,Home,0,0,0,0,0
Missouri State,Kennesaw State,LOSS,7,Road,0,0,0,0,0
Wyoming,Nevada,LOSS,6,Home,0,0,0,0,0
Ball State,Toledo,LOSS,29,Road,0,0,0,0,0
Marshall,App State,LOSS,2,Road,0,0,0,0,0
Florida Atlantic,UConn,LOSS,3,Home,0,0,0,0,0
Liberty,Louisiana Tech,LOSS,6,Road,0,0,0,0,0
Sam Houston,Middle Tennessee,LOSS,14,Road,0,0,0,0,0
UTEP,New Mexico State,LOSS,3,Home,0,0,0,0,0
UAB,South Florida,LOSS,30,Home,0,0,0,0,0
Michigan State,Iowa,LOSS,3,Road,0,0,0,0,0
North Carolina,Duke,LOSS,7,Home,0,0,0,0,0
Jacksonville State,Florida International,LOSS,6,Road,0,0,0,0,0
Southern Miss,South Alabama,LOSS,7,Road,0,0,0,0,0
East Carolina,UTSA,LOSS,34,Road,0,0,0,0,0
Oklahoma State,UCF,LOSS,3,Road,0,0,0,0,0
Georgia State,Troy,LOSS,12,Road,0,0,0,0,0
Coastal Carolina,South Carolina,LOSS,44,Road,0,0,0,0,0
UL Monroe,Texas State,LOSS,17,Road,0,0,0,0,0
Nebraska,Penn State,LOSS,27,Road,0,0,0,0,0
Air Force,New Mexico,LOSS,17,Home,0,0,0,0,0
Colorado State,Boise State,LOSS,28,Road,0,0,0,0,0
California,Stanford,LOSS,21,Road,0,0,0,0,0
Rice,North Texas,LOSS,32,Home,0,0,0,0,0
Western Kentucky,LSU,LOSS,3,Road,0,0,0,0,0
UCLA,Washington,LOSS,34,Home,0,0,0,0,0
Fresno State,Utah State,LOSS,11,Home,0,0,0,0,0
San José State,San Diego State,LOSS,22,Road,0,0,0,0,0
